atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
11677,0,0,99260,0,8324,Classe2
33505,0,0,73348,0,51693,Classe2
35553,0,0,71785,0,14568,Classe2
9774,0,0,36802,0,5050,Classe2
13434,0,0,131434,0,8872,Classe2
9424,0,0,133271,0,9246,Classe2
1826,0,0,103472,0,9289,Classe2
43420,0,0,139174,0,7122,Classe2
0,0,0,194200,0,9985,Classe2
16840,0,0,174147,0,9823,Classe2
0,0,0,47625,0,4010,Classe2
0,0,0,125588,0,5853,Classe2
15386,0,0,94222,0,9871,Classe2
13863,0,0,166325,0,9653,Classe2
4880,35027,0,145991,0,11189,Classe2
13306,0,0,130584,0,12192,Classe2
11606,0,0,69559,0,5546,Classe2
0,0,0,119988,0,14029,Classe2
22529,0,0,102168,0,14978,Classe2
7046,0,0,80684,0,5334,Classe2
15867,2609,0,142312,0,7400,Classe2
10206,0,0,125162,0,6300,Classe2
2668,0,0,130230,0,21144,Classe2
9107,0,0,160145,0,12171,Classe2
10284,0,0,63734,0,4152,Classe2
2259,0,0,107360,0,7407,Classe2
10638,0,0,212510,0,18713,Classe2
11571,0,0,55096,0,5143,Classe2
9934,0,0,85753,0,4651,Classe2
10620,0,0,76355,0,5112,Classe2
6785,975,0,49731,0,11901,Classe2
66,0,0,64983,0,8773,Classe2
72,560,0,94195,0,7570,Classe2
12,0,0,88461,0,7901,Classe2
2723,0,0,91148,0,939,Classe2
61,0,0,45746,474,2104,Classe2
1,0,0,128460,0,6170,Classe2
4594,3010,0,59516,0,3247,Classe2
14665,0,0,146980,0,8038,Classe2
14649,0,0,98093,0,9274,Classe2
66696,0,9977,3891,0,0,Classe1
35033,0,3233,0,0,0,Classe1
73927,0,5339,7,0,0,Classe1
66507,0,7659,0,0,0,Classe1
168841,0,17788,14,0,0,Classe1
94180,0,12640,28,28651,0,Classe1
59277,0,7544,10,0,0,Classe1
117470,0,5556,33,0,0,Classe1
61732,0,5969,5,0,0,Classe1
69771,0,12489,480,400,0,Classe1
103342,0,6102,1,0,0,Classe1
98892,0,7165,692,18947,0,Classe1
125581,0,10393,203,0,0,Classe1
61808,0,5676,3,0,0,Classe1
129560,0,6966,9,0,0,Classe1
86852,0,6759,379,0,0,Classe1
87453,0,6181,133,0,0,Classe1
23461,0,9350,66,0,0,Classe1
63644,0,1247,149,4689,0,Classe1
29344,0,3008,120,0,0,Classe1
31331,0,660,130,0,0,Classe1
50319,0,2408,77,0,0,Classe1
54934,0,1255,0,0,0,Classe1
52998,0,2866,503,0,0,Classe1
31520,0,152,63,0,0,Classe1
44218,0,143,1,0,0,Classe1
28551,0,1065,34,0,0,Classe1
29964,0,964,0,0,0,Classe1
35357,0,1399,266,0,0,Classe1
73678,0,6227,0,0,0,Classe1
95825,0,12499,20,0,0,Classe1
35033,0,3233,0,0,0,Classe1
63408,0,2889,0,0,0,Classe1
60968,0,955,0,0,0,Classe1
59162,0,5426,35,0,0,Classe1
92494,0,6501,1,41,0,Classe1
78025,0,4210,44,0,0,Classe1
111613,0,16675,8,0,0,Classe1
122925,0,5305,3483,0,0,Classe1
212630,0,11047,14,0,0,Classe1
